"Click Id","Subs Date","Unsubs Date"
19061705,"2024-03-05 23:25:08","2024-03-05 23:26:41"
20791705,"2024-03-05 23:27:19","2024-03-05 23:50:37"
8290206,"2024-03-06 08:26:46","2024-03-06 08:31:59"
16030306,"2024-03-06 09:45:58","2024-03-06 10:10:44"
9950506,"2024-03-06 11:22:42","2024-03-06 11:29:52"
6050806,"2024-03-06 14:10:30","2024-03-06 14:13:12"
20660806,"2024-03-06 14:38:16","2024-03-06 14:39:00"
21860806,"2024-03-06 14:41:33","2024-03-06 14:42:55"
22520806,"2024-03-06 14:42:27","2024-03-06 14:43:24"
23410806,"2024-03-06 14:43:46","2024-03-06 14:45:01"
28850806,"2024-03-06 14:55:01","2024-03-06 15:22:12"
22251006,"2024-03-06 16:52:35","2024-03-06 16:56:27"
20731206,"2024-03-06 18:44:17","2024-03-06 18:45:44"
14391306,"2024-03-06 19:29:55","2024-03-06 19:37:34"
8161406,"2024-03-06 20:16:57","2024-03-06 20:24:50"
23601506,"2024-03-06 21:34:41","2024-03-06 21:35:06"
33181706,"2024-03-06 23:33:51","2024-03-06 23:39:32"
841906,"2024-03-07 01:01:12","2024-03-07 01:03:01"
26661906,"2024-03-07 01:30:35","2024-03-07 01:40:20"
11492006,"2024-03-07 02:22:21","2024-03-07 02:23:26"
24552006,"2024-03-07 03:00:09","2024-03-07 03:03:57"
12592206,"2024-03-07 04:51:07","2024-03-07 04:52:48"
5272306,"2024-03-07 05:28:01","2024-03-07 05:57:43"
10560107,"2024-03-07 07:23:44","2024-03-07 07:25:14"
24220107,"2024-03-07 07:50:21","2024-03-07 07:52:13"
23870207,"2024-03-07 08:42:34","2024-03-07 08:45:18"
32670207,"2024-03-07 08:57:44","2024-03-07 09:00:58"
32390407,"2024-03-07 10:41:16","2024-03-07 10:43:43"
8120507,"2024-03-07 11:09:48","2024-03-07 11:51:31"
27750507,"2024-03-07 11:33:17","2024-03-07 12:48:16"
15890607,"2024-03-07 12:18:28","2024-03-07 12:22:26"
36060607,"2024-03-07 12:42:44","2024-03-07 12:55:55"
19130807,"2024-03-07 14:36:17","2024-03-07 14:39:11"
19560807,"2024-03-07 14:36:57","2024-03-07 14:40:29"
7800907,"2024-03-07 15:15:16","2024-03-07 15:19:24"
17180907,"2024-03-07 15:32:16","2024-03-07 15:33:39"
23361007,"2024-03-07 16:52:51","2024-03-07 16:53:51"
25311007,"2024-03-07 16:58:11","2024-03-07 17:00:48"
6151207,"2024-03-07 18:15:08","2024-03-07 18:34:33"
13161207,"2024-03-07 18:31:34","2024-03-07 18:33:30"
16451207,"2024-03-07 18:39:06","2024-03-07 18:40:15"
4961307,"2024-03-07 19:10:00","2024-03-07 19:15:50"
7241307,"2024-03-07 19:14:16","2024-03-07 19:16:09"
20801407,"2024-03-07 20:42:56","2024-03-07 20:47:52"
821507,"2024-03-07 21:02:45","2024-03-07 21:04:07"
28861507,"2024-03-07 21:54:08","2024-03-07 21:55:52"
32721507,"2024-03-07 22:00:08","2024-03-07 22:01:21"
5881607,"2024-03-07 22:12:17","2024-03-07 22:14:52"
17771607,"2024-03-07 22:29:21","2024-03-07 22:30:52"
20741607,"2024-03-07 22:33:54","2024-03-07 22:35:27"
45511707,"2024-03-07 23:50:50","2024-03-07 23:51:36"
15851807,"2024-03-08 00:22:01","2024-03-08 18:50:31"
26561807,"2024-03-08 00:35:05","2024-03-08 00:37:10"
45051807,"2024-03-08 00:59:32","2024-03-08 06:07:27"
16081907,"2024-03-08 01:26:11","2024-03-08 01:35:18"
6622207,"2024-03-08 04:36:29","2024-03-08 04:39:30"
4620108,"2024-03-08 07:21:32","2024-03-08 07:23:29"
10670208,"2024-04-09 10:36:48","2024-04-09 10:51:46"
5241202,"2024-04-09 10:36:48","2024-04-09 10:51:46"
2231606,"2024-04-09 10:36:48","2024-04-09 10:51:46"
21020409,"2024-04-09 10:36:48","2024-04-09 10:51:46"
18600208,"2024-03-08 08:45:01","2024-03-08 08:46:49"
22970208,"2024-03-08 08:54:41","2024-03-08 09:41:43"
19330308,"2024-03-08 09:41:13","2024-03-08 22:05:11"
6360508,"2024-03-08 11:11:39","2024-03-08 11:12:51"
19260608,"2024-03-08 12:40:08","2024-03-08 12:42:07"
22380608,"2024-03-08 12:47:01","2024-03-08 12:47:40"
9150808,"2024-03-08 14:17:34","2024-03-08 14:18:15"
17920808,"2024-03-08 14:33:28","2024-03-08 14:35:14"
1201008,"2024-03-08 16:02:20","2024-03-08 16:05:22"
4171008,"2024-03-08 16:07:30","2024-03-08 16:08:13"
4521008,"2024-03-08 16:08:15","2024-03-08 16:09:51"
12131008,"2024-03-08 16:22:01","2024-03-08 16:25:34"
22941008,"2024-03-08 16:42:20","2024-03-08 16:43:37"
22381008,"2024-03-08 16:43:23","2024-03-08 16:46:48"
1761208,"2024-03-08 18:03:05","2024-03-08 18:05:38"
37931308,"2024-03-08 19:52:26","2024-03-08 19:54:32"
30221408,"2024-03-08 20:41:10","2024-03-08 20:42:50"
15151508,"2024-03-08 21:19:54","2024-03-08 21:23:35"
43101508,"2024-03-08 21:50:21","2024-03-08 21:51:44"
3421608,"2024-03-08 22:04:14","2024-03-08 22:06:40"
7321608,"2024-03-08 22:08:26","2024-03-08 22:10:58"
